symbol,name,sector,industry,current_price,high_52w,low_52w,price_to_52w_high,market_cap,pe_ratio,forward_pe,pb_ratio,peg_ratio,roe,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,rsi,beta,max_drawdown,avg_volume,dividend_yield,valuation_score,valuation_reasons,growth_score,growth_reasons,risk_score,risk_reasons,composite_score
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2277.0,2494.0,1836.800048828125,91.299117882919,104108.0516608,19.56858,22.344696,5.2969747,,26.906999999999996,19.073999,31.900000000000002,89.0,89.0,29.388,1.899,1.252,46.52567975830816,0.6485705713680029,10.110596949532653,1000294.3493975904,50.0,10.0,['P/E 65.9% below sector (19.6 vs 57.4)'],39.38,"['Revenue growth: 31.9%', 'Earnings growth: 89.0%', 'Balanced RSI: 46.5', 'Strong liquidity', 'Profit margin: 19.1%']",28,[],77.38
CANFINHOME,Can Fin Homes Limited,Financial Services,Mortgage Finance,856.4500122070312,971.5,703.2285752291756,88.1574896764829,11403.9857152,10.504723,8.992691,2.0877566,0.86,19.655001,67.294997,24.3,47.8,47.8,637.09,139.58,139.58,43.65233035139578,0.8297528838368747,16.64386680512951,230715.95582329316,159.0,16.7844766531652,"['P/E 70.9% below sector (10.5 vs 36.1)', 'Strong P/B-ROE combo (P/B: 2.09, ROE: 19.7%)', 'Attractive PEG ratio: 0.86']",35.411667,"['Revenue growth: 24.3%', 'Earnings growth: 47.8%', 'Balanced RSI: 43.7', 'Profit margin: 67.3%']",25,['High debt-to-equity: 6.37'],77.1961436531652
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1271.5999755859375,1488.5144734435703,1187.5999755859375,85.42745121209222,911425.929216,17.011372,14.000235,2.508156,0.53,16.359,24.929000000000002,66.9,8.4,9.3,,,,21.031712872977764,0.562113014892501,18.365924078670684,12311756.542168675,87.0,21.188016888,"['P/E 59.0% below sector (17.0 vs 41.5)', 'Strong P/B-ROE combo (P/B: 2.51, ROE: 16.4%)', 'Attractive PEG ratio: 0.53']",25.453,"['Revenue growth: 66.9%', 'Strong liquidity', 'Profit margin: 24.9%']",28,[],74.641016888
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services,3451.0,4114.708242760882,2010.0044112907017,83.86985896439774,138546.774016,15.901028,11.923023,3.8894367,,26.691,51.13799999999999,76.5,97.5,101.8,384.601,153.357,153.357,35.9612096452298,1.1296960316610034,23.855609103776505,730419.6465863454,85.0,10.0,"['P/E 61.7% below sector (15.9 vs 41.5)', 'Corrected 16.1% from 52W high']",38.0,"['Revenue growth: 76.5%', 'Earnings growth: 97.5%', 'Strong liquidity', 'Profit margin: 51.1%']",25,['High debt-to-equity: 3.85'],73.0
CANBK,Canara Bank,Financial Services,Banks - Regional,130.02000427246094,162.88999938964844,96.39617269116657,79.82074084329798,117936.61952,5.8383474,6.148948,1.0051798,,18.215,34.346,-42.6,24.5,24.7,,,,20.25900421433178,0.8924539107739654,22.324292054753066,25956160.835341364,298.0,18.074588876222222,"['P/E 85.9% below sector (5.8 vs 41.5)', 'Strong P/B-ROE combo (P/B: 1.01, ROE: 18.2%)', 'Corrected 20.2% from 52W high']",19.071666666666665,"['Strong liquidity', 'Profit margin: 34.3%']",30,[],67.1462555428889
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3278.800048828125,3839.89990234375,2896.0,85.3876437463084,393705.9209216,21.542707,20.328249,4.418904,1.26,18.754,8.461001,30.9,44.800000000000004,41.6,125.066,1.267,0.533,52.042007518254366,0.8477640552140931,22.914470520326972,2538226.9799196785,99.0,10.0,['P/E 61.6% below sector (21.5 vs 56.0)'],30.431333333333335,"['Revenue growth: 30.9%', 'Earnings growth: 44.8%', 'Balanced RSI: 52.0', 'Strong liquidity']",25,['High debt-to-equity: 1.25'],65.43133333333333
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,Credit Services,335.5,412.20001220703125,237.44650936934244,81.39252548869213,46619.2433152,16.091127,11.94587,1.7476143,,11.856,29.518,40.300000000000004,82.6,105.2,428.025,9.568,9.568,64.12988905696795,1.1101068736635,31.379820922788486,3015142.9718875503,221.0,10.0,"['P/E 61.2% below sector (16.1 vs 41.5)', 'Corrected 18.6% from 52W high']",31.0,"['Revenue growth: 40.3%', 'Earnings growth: 82.6%', 'Strong liquidity', 'Profit margin: 29.5%']",23,['High debt-to-equity: 4.28'],64.0
COALINDIA,Coal India Limited,Energy,Thermal Coal,464.29998779296875,491.25,345.88274891411857,94.51399242604963,286135.4713088,9.197701,8.083881,2.4022143,0.87,28.124001999999997,18.465,16.2,12.9,12.9,11.629,1.856,1.127,63.51436782617818,0.6786998046589113,10.26878039943905,7790465.4779116465,482.0,12.052401491427142,"['P/E 28.6% below sector (9.2 vs 12.9)', 'Strong P/B-ROE combo (P/B: 2.40, ROE: 28.1%)', 'Attractive PEG ratio: 0.87']",23.0,"['Strong liquidity', 'Profit margin: 18.5%']",28,[],63.05240149142714
RECLTD,REC Limited,Financial Services,Credit Services,354.3999938964844,406.72303571132795,304.04998779296875,87.13546142688119,93321.4552064,5.7327724,4.984529,1.1176285,,19.957,70.553,-14.399999999999999,-21.9,-21.7,607.463,282.504,282.365,20.78706423905585,0.8297448332912902,24.54578868479322,7422480.554216867,646.0,18.348108450111113,"['P/E 86.2% below sector (5.7 vs 41.5)', 'Strong P/B-ROE combo (P/B: 1.12, ROE: 20.0%)']",19.652333333333335,"['Strong liquidity', 'Profit margin: 70.6%']",25,['High debt-to-equity: 6.07'],63.000441783444444
VEDL,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining,299.70001220703125,795.0,268.70001220703125,37.6981147430228,117026.914304,16.705687,11.988068,2.911744,,20.403999,22.681999,-41.3,92.2,92.30000000000001,48.044,5.312,0.549,15.399998679832052,2.296146522383447,65.51746186755952,13468160.975903615,1147.0,10.400172296832,"['P/E 56.2% below sector (16.7 vs 38.1)', 'Strong P/B-ROE combo (P/B: 2.91, ROE: 20.4%)']",27.801333,"['Earnings growth: 92.2%', 'Strong liquidity', 'Profit margin: 22.7%']",23,"['High beta: 2.30', 'High max drawdown: 65.5%']",61.201505296831996
