symbol,name,sector,industry,current_price,high_52w,low_52w,price_to_52w_high,market_cap,pe_ratio,forward_pe,pb_ratio,peg_ratio,roe,profit_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,rsi,beta,max_drawdown,avg_volume,dividend_yield,total_revenue,order_book_value,order_book_to_revenue_ratio,order_book_visibility_months,has_order_book_data,order_book_relevant,valuation_score,valuation_reasons,growth_score,growth_reasons,risk_score,risk_reasons,composite_score,is_estimated
GESHIP,The Great Eastern Shipping Company Limited,Industrials,Marine Shipping,1533.9000244140625,1642.699951171875,884.4592864877276,93.37676203860623,21899.0559232,7.4569764,9.296364,1.4385555,,18.849,46.615002,51.9,187.5,187.6,6.409,7.133,6.197,61.72259751210332,0.9617368958767608,10.503380958328265,559984.328,305.0,63124201472,,,,False,True,16.540370529,"['P/E 84.9% below sector (7.5 vs 49.3)', 'Strong P/B-ROE combo (P/B: 1.44, ROE: 18.8%)']",37.283,"['Revenue growth: 51.9%', 'Earnings growth: 187.5%', 'Strong liquidity', 'Profit margin: 46.6%']",30,[],83.823370529,
LUPIN,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2276.199951171875,2494.0,1836.800048828125,91.2670389403318,104071.4760192,19.53149,22.380346,4.633137,,26.906999999999996,19.073999,31.900000000000002,89.0,89.0,29.388,1.899,1.252,45.24324862385365,0.6575584120834624,9.938619986761354,1009385.34,53.0,279580311552,,,,False,False,10.0,['P/E 72.6% below sector (19.5 vs 71.2)'],39.38,"['Revenue growth: 31.9%', 'Earnings growth: 89.0%', 'Balanced RSI: 45.2', 'Strong liquidity', 'Profit margin: 19.1%']",28,[],77.38,
GODFRYPHLP,Godfrey Phillips India Limited,Consumer Defensive,Tobacco,2424.89990234375,3924.862320700016,1832.0999755859375,61.78305642862038,37824.0139264,29.155945,21.631578,6.4900756,0.27,26.593,16.364,124.50000000000001,86.1,86.7,3.757,2.437,0.831,73.43583333517368,1.7327017275946148,49.78606124525382,959317.368,153.0,93257302016,,,,False,False,17.800839500701816,"['P/E 39.0% below sector (29.2 vs 47.8)', 'Attractive PEG ratio: 0.27', 'Corrected 38.2% from 52W high']",35.0,"['Revenue growth: 124.5%', 'Earnings growth: 86.1%', 'Strong liquidity', 'Profit margin: 16.4%']",23,"['High beta: 1.73', 'High max drawdown: 49.8%']",75.80083950070181,
CGCL,Capri Global Capital Limited,Financial Services,Credit Services,185.00999450683594,214.0,150.349874062589,86.4532684611383,17800.8096768,18.28162,10.184034,2.47611,,16.496,33.626,72.0,37.1,59.099999999999994,334.728,90.171,88.969,49.84041182474317,1.1671406642188316,27.314903438970983,3323039.92,11.0,28226539520,,,,False,False,11.593724362584412,"['P/E 48.4% below sector (18.3 vs 35.4)', 'Strong P/B-ROE combo (P/B: 2.48, ROE: 16.5%)']",37.91866666666667,"['Revenue growth: 72.0%', 'Earnings growth: 37.1%', 'Balanced RSI: 49.8', 'Strong liquidity', 'Profit margin: 33.6%']",25,['High debt-to-equity: 3.35'],74.51239102925108,
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,5064.5,6266.359422363396,3930.0150637292313,80.82045185480108,101337.071616,17.667889,15.896024,4.6882105,,28.027,12.109999,30.2,25.7,25.7,3.57,1.909,1.546,51.282051282051285,0.841106826252337,20.349469412019925,693623.904,365.0,474112393216,,,,False,False,10.0,"['P/E 82.3% below sector (17.7 vs 99.9)', 'Corrected 19.2% from 52W high']",34.2349995,"['Revenue growth: 30.2%', 'Earnings growth: 25.7%', 'Balanced RSI: 51.3', 'Strong liquidity', 'Profit margin: 12.1%']",30,[],74.2349995,
SUZLON,Suzlon Energy Limited,Industrials,Specialty Industrial Machinery,53.84000015258789,74.30000305175781,38.189998626708984,72.46298511600683,73845.2242432,22.81356,27.23883,9.424121,0.35,,21.564,42.4,14.299999999999999,15.1,5.051,,,36.1683097410685,1.0414202038488667,44.655848467508946,73790338.136,0.0,149845901312,,,,False,True,20.0,"['P/E 65.0% below sector (22.8 vs 65.2)', 'Attractive PEG ratio: 0.35', 'Corrected 27.5% from 52W high']",23.0,"['Revenue growth: 42.4%', 'Strong liquidity', 'Profit margin: 21.6%']",26,['High max drawdown: 44.7%'],69.0,
AUBANK,AU Small Finance Bank Limited,Financial Services,Banks - Regional,990.5,1079.550048828125,679.861584541776,91.75118847664444,74124.9384448,28.33238,16.33481,3.706462,,,21.372999,37.1,62.6,65.2,,,,33.48019144048982,0.9098319819378957,18.15665592912678,2653913.66,10.0,10612014080,,,,False,False,10.0,['P/E 55.3% below sector (28.3 vs 63.3)'],28.0,"['Revenue growth: 37.1%', 'Earnings growth: 62.6%', 'Strong liquidity', 'Profit margin: 21.4%']",30,[],68.0,
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,366.3999938964844,508.45001220703125,316.20001220703125,72.0621467400601,77963.4147328,4.319736,6.3793473,1.189452,,30.929002,4.1050002,4.9,77.5,77.60000000000001,85.369,0.642,0.121,43.20525302401248,1.0627600621250257,36.04849179379524,5659727.124,948.0,4396334448640,,,,False,False,19.870183866226668,"['P/E 49.4% below sector (4.3 vs 8.5)', 'Strong P/B-ROE combo (P/B: 1.19, ROE: 30.9%)', 'Corrected 27.9% from 52W high']",25.0,"['Earnings growth: 77.5%', 'Balanced RSI: 43.2', 'Strong liquidity']",23,['Low current ratio: 0.64'],67.87018386622667,
HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts,1209.5999755859375,1616.156807070518,1142.5,74.84422119772434,75872.9867264,44.849834,35.56373,8.0293665,0.2,18.969999,7.504000500000001,2.5,39.6,39.6,2.801,1.707,0.685,33.453065284081006,0.7232669494911529,26.66516531374285,909657.104,99.0,225277706240,22527.770624,1.0,12.0,True,True,16.24801715924101,"['P/E 31.2% below sector (44.8 vs 65.2)', 'Attractive PEG ratio: 0.20', 'Corrected 25.2% from 52W high']",23.243333,"['Earnings growth: 39.6%', 'Strong liquidity', 'Good order book: 1.0x revenue (12 months)']",28,[],67.49135015924101,True
CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs,449.8999938964844,637.1239404953402,399.75,70.61420318732708,18025.3458432,9.224934,11.02696,1.7296728,,20.451,9.380999,14.899999999999999,30.2,29.799999999999997,10.274,2.333,1.227,52.16200550886881,0.906183750624126,33.45259568024908,1302666.568,222.00000000000003,208224698368,,,,False,False,15.7732136816,"['P/E 72.7% below sector (9.2 vs 33.7)', 'Strong P/B-ROE combo (P/B: 1.73, ROE: 20.5%)', 'Corrected 29.4% from 52W high']",22.857,"['Earnings growth: 30.2%', 'Balanced RSI: 52.2', 'Strong liquidity']",28,[],66.6302136816,
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,Credit Services,320.6499938964844,412.20001220703125,246.33057269442915,77.78990402732812,44555.7669888,15.364159,11.417118,1.6702609,,11.856,29.518,40.300000000000004,82.6,105.2,428.025,9.568,9.568,51.74865402573026,1.1049695499590233,31.379820922788515,2951965.076,234.0,96703201280,,,,False,False,10.0,"['P/E 75.7% below sector (15.4 vs 63.3)', 'Corrected 22.2% from 52W high']",33.0,"['Revenue growth: 40.3%', 'Earnings growth: 82.6%', 'Balanced RSI: 51.7', 'Strong liquidity', 'Profit margin: 29.5%']",23,['High debt-to-equity: 4.28'],66.0,
