symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pe_discount_pct,revenue_growth,earnings_growth,roe
NITTAGELA,Nitta Gelatin India Limited,Basic Materials,24,7,8,5,4,12.269831,49.9,0.246,0.736,0.20804001
MASTERTR,Master Trust Limited,Financial Services,24,8,10,4,2,9.579814,47.9,0.479,0.428,0.1729
GESHIP,The Great Eastern Shipping Company Limited,Industrials,24,8,10,4,2,7.4569764,74.5,0.519,1.875,0.18849
LUPIN,Lupin Limited,Healthcare,23,6,10,5,2,19.53149,44.6,0.319,0.89,0.26907
AFIL,AFIL,Financial Services,23,8,10,3,2,10.181818,44.6,0.466,0.642,0.10501
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,23,6,10,5,2,12.546983,31.7,0.537,1.267,0.30406
KPIGREEN,KPI Green Energy Limited,Utilities,23,7,10,4,2,17.481297,47.7,0.423,0.472,0.17253
NAHARCAP,Nahar Capital and Financial Services Limited,Financial Services,23,8,10,2,3,6.442673,64.9,2.005,1.018,
INFOBEAN,InfoBeans Technologies Limited,Technology,23,6,10,5,2,16.955109,37.4,0.374,1.05,0.2324
EMMVEE,EMMVEE,Technology,22,5,10,5,2,15.017462,44.5,0.623,0.625,0.51116
BAIDFIN,Baid Finserv Limited,Financial Services,22,8,10,2,2,8.5220585,53.6,0.597,0.282,0.07272
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,22,6,10,4,2,17.667889,35.3,0.302,0.257,0.28027
MAHABANK,Bank of Maharashtra,Financial Services,22,7,10,5,0,8.554824,53.5,0.382,0.364,0.22659999
CNL,Creative Newtech Limited,Technology,22,7,10,3,2,16.582922,38.7,0.831,1.571,0.20183
MONARCH,Monarch Networth Capital Limited,Financial Services,22,5,10,5,2,14.947632,18.7,0.582,0.841,0.20495
INDSWFTLAB,Ind-Swift Laboratories Limited,Healthcare,21,8,10,2,1,3.8819945,89.0,16.411,1073.144,
KILITCH,Kilitch Drugs (India) Limited,Healthcare,21,7,10,2,2,19.575796,44.5,0.472,0.265,0.12361
CEINSYS,Ceinsys Tech Limited,Industrials,21,6,8,5,2,15.897264,45.6,0.222,0.681,0.24595
BIRLAMONEY,Aditya Birla Money Limited,Financial Services,21,5,10,5,1,13.490821,26.6,0.429,1.006,0.21804
MODINATUR,Modi Naturals Limited,Consumer Defensive,21,6,10,3,2,14.534683,39.6,0.283,1.479,0.34243
CCCL,Consolidated Construction Consortium Limited,Industrials,21,6,5,5,5,8.418079,71.2,1.295,,0.26556998
GARUDA,GARUDA,Industrials,21,6,10,2,3,15.675675,46.4,1.25,1.476,
MGEL,Mangalam Global Enterprise Limited,Consumer Defensive,21,7,10,3,1,9.905109,58.9,0.982,1.386,0.20118
DUCON,Ducon Infratechnologies Limited,Industrials,21,8,10,1,2,8.461538,71.1,5.902,0.75,0.10106
AUSOMENT,AuSom Enterprise Limited,Financial Services,21,8,10,0,3,6.2386413,66.1,33.828,11.583,
OMAXAUTO,Omax Autos Limited,Consumer Cyclical,21,8,10,1,2,11.87695,56.5,0.594,34.879,0.11191
EXPLEOSOL,Expleo Solutions Limited,Technology,21,7,8,3,3,12.919766,52.3,0.168,0.732,0.17559
CANFINHOME,Can Fin Homes Limited,Financial Services,21,7,8,4,2,10.416258,43.3,0.243,0.478,0.19655001
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,Financial Services,21,8,10,2,1,1.2238382,93.3,122.309,19.995,
AKI,AKI India Limited,Consumer Cyclical,20,8,10,0,2,12.868421,52.9,0.674,2.5,0.029089998
BSE,BSE Limited,Financial Services,20,0,10,5,5,75.75459,0.0,1.051,0.64,0.36003
GHCLTEXTIL,GHCL Textiles Limited,Consumer Cyclical,20,8,10,0,2,14.694631,46.2,0.282,0.94,0.047870003
CHEVIOT,Cheviot Company Limited,Consumer Cyclical,20,8,10,1,1,9.979957,63.5,0.285,4.039,
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,20,7,5,3,5,11.90479,35.2,-0.483,0.493,0.12624
PALASHSECU,Palash Securities Limited,Consumer Defensive,20,8,5,2,5,7.9661417,66.9,0.766,,0.02155
JMFINANCIL,JM Financial Limited,Financial Services,20,8,10,2,0,10.4457445,43.2,0.314,0.5,
KSOLVES,Ksolves India Limited,Technology,20,3,10,5,2,19.42029,28.2,0.291,0.658,1.36942
NAGREEKCAP,Nagreeka Capital & Infrastructure Ltd.,Financial Services,20,8,10,2,0,2.1117604,88.5,4.638,0.255,
ALMONDZ,Almondz Global Securities Limited,Financial Services,20,8,10,2,0,8.736841,52.5,0.567,4.214,
MASFIN,MAS Financial Services Limited,Financial Services,20,5,10,3,2,15.603322,15.1,1.063,0.251,0.13217
NIITMTS,NIIT Learning Systems Limited,Consumer Defensive,20,7,8,3,2,15.220729,36.8,0.222,0.588,0.17998
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,20,5,10,3,2,15.364159,16.4,0.403,0.826,0.11856
INTLCONV,International Conveyors Limited,Industrials,20,8,10,2,0,6.5147543,77.7,0.355,0.481,
LGBBROSLTD,L.G. Balakrishnan & Bros Limited,Consumer Cyclical,20,7,8,3,2,15.898359,41.8,0.218,2.794,0.15689
KPEL,K.P. Energy Limited,Industrials,20,5,10,4,1,13.022736,55.5,0.575,0.693,0.43485
NORTHARC,Northern Arc Capital Limited,Financial Services,20,8,10,2,0,11.32501,38.4,0.281,0.33,
DHANBANK,Dhanlaxmi Bank Limited,Financial Services,19,8,10,1,0,12.000001,34.7,0.337,0.298,0.07162
GANDHITUBE,Gandhi Special Tubes Limited,Industrials,19,6,8,2,3,14.859613,49.2,0.218,0.299,
ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,19,8,8,0,3,14.717533,39.9,0.236,26.5,
MANALIPETC,Manali Petrochemicals Limited,Basic Materials,19,8,10,1,0,8.639445,64.7,0.26,11.839,
DRCSYSTEMS,DRC Systems India Limited,Technology,19,7,10,2,0,11.560606,57.3,0.604,0.423,
MCX,Multi Commodity Exchange of India Limited,Financial Services,19,0,10,5,4,64.936806,0.0,2.0,2.912,0.37883
MOKSH,Moksh Ornaments Limited,Consumer Cyclical,19,7,10,0,2,9.768,64.3,0.562,1.969,0.082150005
ARIHANT,Arihant Foundations & Housing Limited,Real Estate,19,7,10,2,0,13.315503,47.6,0.968,0.947,
ENGINERSIN,Engineers India Limited,Industrials,19,5,10,2,2,17.8934,38.8,0.583,2.186,
