symbol,name,sector,market_cap_cr,avg_volume,current_price
HDFCBANK,HDFC Bank Limited,Financial Services,1181599.09,37872340,767.5
BHARTIARTL,Bharti Airtel Limited,Communication Services,1160669.09,14932209,1905.4
ICICIBANK,ICICI Bank Limited,Financial Services,892141.04,17572541,1244.5
BAJFINANCE,Bajaj Finance Limited,Financial Services,566106.57,6401227,910.45
LT,Larsen & Toubro Limited,Industrials,537748.73,2218117,3909.0
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,533874.13,1323042,2272.2
LICI,Life Insurance Corporation of India,Financial Services,505462.18,1377495,799.15
INFY,Infosys Limited,Technology,452860.16,13057927,1119.0
ADANIPOWER,Adani Power Limited,Utilities,426828.16,45621178,221.33
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,415671.62,359749,13221.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,413583.67,3848866,1795.1
ITC,ITC Limited,Consumer Defensive,387724.42,13405943,309.45
AXISBANK,Axis Bank Limited,Financial Services,387051.53,5948539,1244.8
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,384977.92,16158918,387.05
NTPC,NTPC Limited,Utilities,383260.74,9426046,395.25
ONGC,Oil and Natural Gas Corporation Limited,Energy,376590.67,23953185,299.35
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,375010.07,2403158,3123.1
ADANIENT,Adani Enterprises Limited,Energy,372348.47,4211212,2716.0
JSWSTEEL,JSW Steel Limited,Basic Materials,312108.2,2406025,1278.8
BEL,Bharat Electronics Limited,Industrials,309678.78,10692657,423.65
HCLTECH,HCL Technologies Limited,Technology,306442.19,3733367,1132.6
HAL,Hindustan Aeronautics Limited,Industrials,293338.09,1868670,4386.2
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,289814.24,337479,10377.5
COALINDIA,Coal India Limited,Energy,284841.32,8816521,462.2
DMART,Avenue Supermarts Limited,Consumer Defensive,284241.14,218171,4358.7
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,276238.22,1336833,1728.1
NESTLEIND,Nestlé India Limited,Consumer Defensive,275845.38,1825237,1430.5
HINDZINC,Hindustan Zinc Limited,Basic Materials,269490.85,8962677,637.8
ASIANPAINT,Asian Paints Limited,Basic Materials,249784.36,1450446,2605.6
HINDALCO,Hindalco Industries Limited,Basic Materials,238709.35,5026653,1067.5
ADANIGREEN,Adani Green Energy Limited,Utilities,227145.6,5821695,1379.0
ETERNAL,Eternal Limited,Consumer Cyclical,221738.28,27657616,241.18
GRASIM,Grasim Industries Limited,Basic Materials,198962.34,1121518,2933.8
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,192417.71,422989,7014.5
IOC,Indian Oil Corporation Limited,Energy,189902.41,17159244,134.48
