symbol,technical_score,trend_score,momentum_score,sr_score,volume_score,price_vs_50ma,pct_above_50ma,price_vs_200ma,pct_above_200ma,ma_cross,trend_strength,momentum_20d_pct,trend_total,rsi_score,rsi_value,macd_score,macd_position,stochastic_score,stochastic_k,momentum_total,sr_high_score,dist_from_52w_high_pct,sr_low_score,dist_from_52w_low_pct,breakout_score,sr_total,volume_trend_score,volume_trend_pct,volume_spike_score,volume_spike_pct,volume_total,current_price,sma_50,sma_200,rsi
JETFREIGHT,26.5,10.0,9,3.5,4.0,3,12.5,3,31.3,2,2.0,11.4,10.0,4,54.9,2,bullish,3,56.6,9,1.5,7.9,2.0,78.0,0,3.5,3,68.8,1.0,49.3,4.0,21.18,18.83,16.13,54.9
DATAPATTNS,25.5,10.0,7,3.5,5.0,3,8.5,3,32.9,2,2.0,11.8,10.0,4,46.5,0,bearish,3,42.2,7,1.5,9.9,2.0,81.9,0,3.5,3,27.3,2.0,108.8,5.0,3876.5,3572.28,2916.85,46.5
COASTCORP,25.5,10.0,7,3.5,5.0,3,23.4,3,44.1,2,2.0,22.0,10.0,3,59.2,2,bullish,2,62.1,7,1.5,6.7,2.0,108.7,0,3.5,3,28.2,2.0,191.5,5.0,62.26,50.46,43.2,59.2
HINDZINC,25.0,10.0,9,4.0,2.0,3,11.7,3,21.1,2,2.0,10.0,10.0,3,57.5,3,bullish,3,57.4,9,2.0,11.4,2.0,57.1,0,4.0,2,11.6,0.0,14.5,2.0,637.8,570.9,526.49,57.5
KESORAMIND,25.0,10.0,6,4.0,5.0,3,25.3,3,57.4,2,2.0,15.9,10.0,1,69.1,2,bullish,3,55.0,6,2.0,13.7,2.0,170.3,0,4.0,3,43.3,2.0,135.8,5.0,12.3,9.81,7.81,69.1
NLCINDIA,24.5,10.0,8,3.5,3.0,3,23.0,3,36.1,2,2.0,15.9,10.0,2,64.9,3,bullish,3,57.1,8,1.5,9.0,2.0,63.1,0,3.5,3,53.9,0.0,17.8,3.0,352.8,286.84,259.16,64.9
MIRCELECTR,24.0,10.0,7,4.0,3.0,3,34.1,3,47.9,2,2.0,32.5,10.0,1,66.5,3,bullish,3,53.9,7,2.0,15.9,2.0,215.9,0,4.0,3,85.8,0.0,12.4,3.0,41.38,30.85,27.97,66.5
HINDCOPPER,24.0,9.0,10,4.0,1.0,3,7.2,3,35.0,2,1.0,2.5,9.0,4,53.4,3,bullish,3,46.7,10,2.0,24.9,2.0,157.9,0,4.0,0,-34.5,1.0,36.3,1.0,570.25,532.11,422.54,53.4
AEROFLEX,24.0,10.0,7,4.0,3.0,3,31.4,3,77.3,2,2.0,23.3,10.0,1,65.7,3,bullish,3,47.9,7,2.0,19.2,2.0,134.7,0,4.0,3,39.1,0.0,-29.4,3.0,370.85,282.31,209.18,65.7
HAPPYFORGE,24.0,9.5,8,3.5,3.0,3,7.0,3,26.1,2,1.5,5.8,9.5,3,59.6,2,bullish,3,54.4,8,1.5,5.7,2.0,73.4,0,3.5,3,20.6,0.0,-55.6,3.0,1386.6,1295.57,1099.96,59.6
