symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pb_ratio,peg_ratio,roe,revenue_growth,earnings_growth,profit_margin,debt_to_equity,pe_score,pe_discount_pct,pb_score,peg_score,ev_ebitda_score,valuation_total,revenue_score,earnings_score,growth_total,roe_score,margin_score,roce_score,quality_total,de_score,current_ratio_score,fcf_score,health_total
GESHIP,The Great Eastern Shipping Company Limited,Industrials,22.0,7.5,10,3.5,1.0,8.345006,1.6092427,,0.18849,0.519,1.875,0.46615002,6.409,4,81.1,1.5,0.0,2,7.5,5,5,10,1.5,2.0,0,3.5,0.0,1,0.0,1.0
WELENT,Welspun Enterprises Limited,Industrials,21.0,8.0,8,2.0,3.0,18.592916,2.490525,0.48,0.13603,0.206,0.531,0.09425,60.918,4,57.9,1.0,2.0,1,8.0,3,5,8,1.0,1.0,0,2.0,0.0,1,2.0,3.0
GODFRYPHLP,Godfrey Phillips India Limited,Consumer Defensive,21.0,6.0,10,3.5,1.5,23.952297,6.262579,0.27,0.26593,1.245,0.861,0.16364,3.757,4,45.1,0.0,2.0,0,6.0,5,5,10,2.0,1.5,0,3.5,0.0,1,0.5,1.5
RAJESHEXPO,Rajesh Exports Limited,Consumer Cyclical,20.0,10.0,10,0.0,0.0,18.926058,0.19162586,0.25,,1.433,1.017,0.00023,5.254,4,41.5,2.0,2.0,2,10.0,5,5,10,0.0,0.0,0,0.0,0.0,0,0.0,0.0
RAJESHEXPO,Rajesh Exports Limited,Consumer Cyclical,20.0,10.0,10,0.0,0.0,18.926058,0.19162586,0.25,,1.433,1.017,0.00023,5.254,4,41.5,2.0,2.0,2,10.0,5,5,10,0.0,0.0,0,0.0,0.0,0,0.0,0.0
MUTHOOTFIN,Muthoot Finance Limited,Financial Services,19.0,4.0,10,4.0,1.0,12.516956,3.7233102,,0.30406,0.537,1.267,0.55206,379.707,4,36.2,0.0,0.0,0,4.0,5,5,10,2.0,2.0,0,4.0,0.0,1,0.0,1.0
BSE,BSE Limited,Financial Services,19.0,0.0,10,5.0,4.0,78.83371,21.64714,,0.36003,1.051,0.64,0.48729,0.0,0,-301.9,0.0,0.0,0,0.0,5,5,10,2.0,2.0,1,5.0,2.0,1,1.0,4.0
BSE,BSE Limited,Financial Services,19.0,0.0,10,5.0,4.0,78.83371,21.64714,,0.36003,1.051,0.64,0.48729,0.0,0,-301.9,0.0,0.0,0,0.0,5,5,10,2.0,2.0,1,5.0,2.0,1,1.0,4.0
HINDZINC,Hindustan Zinc Limited,Basic Materials,19.0,3.0,10,5.0,1.0,19.33374,11.813478,,0.76941,0.408,0.675,0.35292998,39.034,2,16.4,0.0,0.0,1,3.0,5,5,10,2.0,2.0,1,5.0,0.0,0,1.0,1.0
UJJIVANSFB,Ujjivan Small Finance Bank Limited,Financial Services,18.5,4.0,10,2.5,2.0,15.225071,1.6328526,,0.10739,0.444,2.34,0.16572,,3,22.4,1.0,0.0,0,4.0,5,5,10,1.0,1.5,0,2.5,2.0,0,0.0,2.0
TATAINVEST,Tata Investment Corporation Limited,Financial Services,18.5,3.0,10,2.0,3.5,77.608185,1.0554838,,0.01438,1.539,0.689,1.07488,,0,-295.6,1.0,0.0,2,3.0,5,5,10,0.0,2.0,0,2.0,2.0,1,0.5,3.5
LUPIN,Lupin Limited,Healthcare,18.5,4.0,9,3.5,2.0,19.642765,4.6559343,,0.26907,0.319,0.89,0.19073999,29.388,4,53.5,0.0,0.0,0,4.0,4,5,9,2.0,1.5,0,3.5,0.0,1,1.0,2.0
MCX,Multi Commodity Exchange of India Limited,Financial Services,18.0,0.0,10,5.0,3.0,65.365616,20.65247,,0.37883,2.0,2.912,0.54818,0.113,0,-233.2,0.0,0.0,0,0.0,5,5,10,2.0,2.0,1,5.0,2.0,0,1.0,3.0
KALAMANDIR,Sai Silks (Kalamandir) Limited,Consumer Cyclical,18.0,7.0,6,2.0,3.0,10.764645,1.2055857,,0.11781,0.051,1.403,0.08522,28.658,4,66.8,1.0,0.0,2,7.0,1,5,6,1.0,1.0,0,2.0,0.0,1,2.0,3.0
CANFINHOME,Can Fin Homes Limited,Financial Services,18.0,6.5,7,3.5,1.0,10.341638,2.0440001,0.86,0.19655001,0.243,0.478,0.67294997,637.09,4,47.3,1.0,1.5,0,6.5,3,4,7,1.5,2.0,0,3.5,0.0,1,0.0,1.0
M&M,Mahindra & Mahindra Limited,Consumer Cyclical,17.5,6.0,8,2.5,1.0,20.340065,3.7117193,1.26,0.18754,0.309,0.448,0.08461001,125.066,4,37.2,0.0,1.0,1,6.0,4,4,8,1.5,1.0,0,2.5,0.0,0,1.0,1.0
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,17.5,7.5,6,2.0,2.0,4.374484,1.2043852,,0.30929002,0.049,0.775,0.041050002,85.369,4,61.1,1.5,0.0,2,7.5,1,5,6,2.0,0.0,0,2.0,0.0,0,2.0,2.0
SHARDACROP,Sharda Cropchem Limited,Basic Materials,17.5,5.0,9,1.5,2.0,11.942198,3.0365238,,,0.387,3.664,0.11246,0.148,4,48.4,0.0,0.0,1,5.0,4,5,9,0.0,1.5,0,1.5,2.0,0,0.0,2.0
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,17.5,3.0,10,3.5,1.0,26.542341,7.3405647,1.31,0.28046,0.488,1.031,0.16507,56.289,2,18.0,0.0,1.0,0,3.0,5,5,10,2.0,1.5,0,3.5,0.0,1,0.0,1.0
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,17.0,4.0,7,3.5,2.5,17.477575,4.6354456,,0.28027,0.302,0.257,0.12109999,3.57,4,46.0,0.0,0.0,0,4.0,4,3,7,2.0,1.5,0,3.5,0.0,1,1.5,2.5
COALINDIA,Coal India Limited,Energy,17.0,6.5,5,3.5,2.0,9.055688,2.3641868,0.87,0.28124002,0.162,0.129,0.18465,11.629,2,19.5,1.0,1.5,2,6.5,3,2,5,2.0,1.5,0,3.5,0.0,1,1.0,2.0
COALINDIA,Coal India Limited,Energy,17.0,6.5,5,3.5,2.0,9.055688,2.3641868,0.87,0.28124002,0.162,0.129,0.18465,11.629,2,19.5,1.0,1.5,2,6.5,3,2,5,2.0,1.5,0,3.5,0.0,1,1.0,2.0
OBEROIRLTY,Oberoi Realty Limited,Real Estate,17.0,3.0,10,3.0,1.0,23.510654,3.5229468,,0.14913,0.521,0.624,0.41727,15.765,3,22.1,0.0,0.0,0,3.0,5,5,10,1.0,2.0,0,3.0,0.0,1,0.0,1.0
OBEROIRLTY,Oberoi Realty Limited,Real Estate,17.0,3.0,10,3.0,1.0,23.510654,3.5229468,,0.14913,0.521,0.624,0.41727,15.765,3,22.1,0.0,0.0,0,3.0,5,5,10,1.0,2.0,0,3.0,0.0,1,0.0,1.0
BSOFT,Birlasoft Limited,Technology,16.5,7.0,5,2.0,2.5,17.4946,2.4432178,,0.13656999,0.024,0.437,0.09762,3.422,4,40.4,1.0,0.0,2,7.0,1,4,5,1.0,1.0,0,2.0,0.0,1,1.5,2.5
