symbol,name,sector,risk_score,volatility_risk_score,concentration_risk_score,liquidity_risk_score,beta_score,beta,volatility_score,annual_volatility_pct,drawdown_score,max_drawdown_pct,volatility_risk_total,institutional_score,institutional_holding_pct,promoter_score,promoter_holding_pct,float_score,float_pct,concentration_risk_total,volume_score,avg_volume,mcap_score,market_cap_cr,liquidity_risk_total,risk_flags
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,19.0,9.0,5.0,5.0,4,0.98,2.5,33.7,2.5,22.1,9.0,2.0,25.6,2.0,58.5,1.0,42.1,5.0,3.0,18673507,2.0,138475.0,5.0,NONE
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,18.5,8.5,5.0,5.0,4,0.98,2.5,33.9,2.0,36.0,8.5,2.0,22.8,2.0,55.0,1.0,45.0,5.0,3.0,5666809,2.0,78942.0,5.0,NONE
TORNTPOWER,Torrent Power Limited,Utilities,18.5,9.5,4.5,4.5,4,0.8,2.5,30.4,3.0,18.5,9.5,2.0,25.3,2.0,62.3,0.5,31.7,4.5,2.5,551166,2.0,74593.0,4.5,NONE
HINDALCO,Hindalco Industries Limited,Basic Materials,18.5,9.5,4.0,5.0,4,0.82,2.5,26.3,3.0,17.9,9.5,2.0,36.1,1.0,36.4,1.0,63.5,4.0,3.0,5527426,2.0,234416.0,5.0,NONE
GAIL,GAIL (India) Limited,Utilities,18.5,8.5,5.0,5.0,3,0.6,3.0,24.2,2.5,29.8,8.5,2.0,28.5,2.0,63.7,1.0,41.0,5.0,3.0,11015174,2.0,102650.0,5.0,NONE
PFC,Power Finance Corporation Limited,Financial Services,18.0,8.0,5.0,5.0,3,0.69,2.5,27.3,2.5,20.8,8.0,2.0,23.3,2.0,56.0,1.0,42.9,5.0,3.0,6818759,2.0,142432.0,5.0,NONE
NMDC,NMDC Limited,Basic Materials,17.5,8.5,4.0,5.0,3,0.68,2.5,27.0,3.0,11.4,8.5,1.5,18.8,2.0,60.8,0.5,39.2,4.0,3.0,22827921,2.0,78265.0,5.0,NONE
NATIONALUM,National Aluminium Company Limited,Basic Materials,17.5,8.0,4.5,5.0,3,0.6,2.0,36.9,3.0,20.0,8.0,1.5,19.1,2.0,51.3,1.0,48.7,4.5,3.0,11745695,2.0,73272.0,5.0,NONE
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,17.5,8.5,4.0,5.0,3,0.71,2.5,32.1,3.0,19.7,8.5,1.5,15.0,2.0,68.5,0.5,31.4,4.0,3.0,5649681,2.0,92043.0,5.0,NONE
UNIONBANK,Union Bank of India,Financial Services,17.5,9.0,3.5,5.0,4,0.94,2.5,32.0,2.5,21.4,9.0,1.5,14.2,1.5,74.8,0.5,25.2,3.5,3.0,14260959,2.0,121344.0,5.0,NONE
